method,baseline,n_dataset_seed_pairs,n_datasets,loss_difference_mean,loss_difference_hierarchical_ci95_low,loss_difference_hierarchical_ci95_high,accuracy_difference_mean,accuracy_difference_hierarchical_ci95_low,accuracy_difference_hierarchical_ci95_high,method_better_loss_count,dataset_mean_loss_win_count,wilcoxon_loss_p_pooled,wilcoxon_loss_p_dataset_means,runtime_ratio_mean,runtime_ratio_median,wilcoxon_loss_p_pooled_holm,wilcoxon_loss_p_dataset_means_holm
FA-Momentum,BP-Momentum,70,7,0.08295753115133198,0.033134791682908754,0.15120296391436203,-0.029503595819385303,-0.06281518886814941,-0.007069286963036966,7,0,4.509875098415339e-12,0.015625,1.4308841804723635,1.2071329348863515,5.4118501180984065e-11,0.1875
DFA-Momentum,BP-Momentum,70,7,0.11566286781680071,0.024801510597965544,0.24472778963658057,-0.04584919174392858,-0.1068686447689737,-0.002667627511377514,12,0,2.1999386674099925e-10,0.015625,1.1551560270295032,1.09281944501623,2.1999386674099927e-09,0.1875
LocalHead-Momentum,BP-Momentum,70,7,0.11375301975032218,0.03979032528720404,0.2034542072724865,-0.05476954332217491,-0.1045945615787721,-0.01569167846042848,7,0,8.01522054722857e-12,0.015625,1.6029583458268744,1.3160843709938792,8.816742601951428e-11,0.1875
AR64-Momentum,BP-Momentum,70,7,-0.00015868227140954232,-0.0006803743626502108,0.0001067972559799073,-9.523809523809268e-05,-0.0003928571428571345,0.0001785714285714327,21,3,0.012982407450294376,0.8125,15.426283510919728,15.14845629298466,0.07789444470176626,1.0
CAT40-Momentum,BP-Momentum,70,7,0.0010666442342336915,-0.00019400532992463408,0.002513571549113862,-0.0013783716283716266,-0.003047619047619051,-0.00033603896103895787,23,1,0.005488670440845998,0.109375,13.213405785279495,13.055182272736209,0.04390936352676798,0.984375
CAT64-Momentum,BP-Momentum,70,7,2.418116184309819e-05,-4.197727039547049e-05,8.117055677472682e-05,-3.174603174603036e-05,-0.0002341269841269811,0.00017857142857143426,18,2,0.0010592552437449615,0.46875,19.965171435678357,19.538139234078336,0.009533297193704654,1.0
BP-MWBP,BP-Momentum,70,7,0.0001411439679873804,-0.0005363852049540529,0.000866583560983893,-0.00026726051726051313,-0.0010518634143634094,0.0004166666666666715,33,3,0.33277663704625393,0.9375,2.9235198130393716,2.8230477956657025,0.9983299111387618,1.0
CAT64-Momentum,AR64-Momentum,70,7,0.0001828634332526405,-4.3910613043837284e-05,0.0006757624298210686,6.349206349206231e-05,-8.333333333333684e-05,0.0002579365079365055,47,4,0.031966847089976776,0.6875,1.2979380453909024,1.2912601672137112,0.15983423544988387,1.0
CAT64-Momentum,CAT40-Momentum,70,7,-0.0010424630723905933,-0.002477756127265748,0.000232056375618798,0.0013466255966255963,0.0003293005605505582,0.0030158952158952194,47,6,0.006445921467248095,0.109375,1.5184417975339795,1.5302820894060423,0.04512145027073666,0.984375
CAT64-MWBP,CAT64-Momentum,70,7,0.00021223266930111453,-0.0004378444710314088,0.0009357418958329644,-0.0003267843267843224,-0.0012567432567432456,0.0005079365079365095,32,3,0.22686433286922736,0.578125,1.114102878682497,1.101649803600408,0.9074573314769094,1.0
CAT64-MWBP,CAT64-MWBP-local,70,7,-0.00028863923540829224,-0.0012243279463950035,0.0003957164359130389,0.00018720168720169113,-0.00046031746031745935,0.001083333333333344,39,4,0.3944957880941765,0.46875,1.006224875659333,0.9823552840035964,0.9983299111387618,1.0
CAT64-MWBP,CAT64-MWBP-local-EM,70,7,-2.4588404808271592e-05,-0.0005210216445407267,0.0005005301383202947,-2.708402708402494e-05,-0.0005238095238095233,0.00039960039960039873,37,3,0.4555748244225023,0.9375,1.0045438231715647,1.0049185151500457,0.9983299111387618,1.0
