dataset,method,seed,experiment_group,credit_rule,local_steps,credit_dynamics_order,parallel_relaxation_rounds_per_batch,neighbor_jacobian_actions_per_batch,first_order_relaxation_rate,best_epoch,stopped_epoch,early_stopped,best_validation_loss,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy,balanced_accuracy,macro_f1,elapsed_seconds,n_train,n_validation,n_test,n_features,n_classes,affine_depth,parameter_count,calibrated_local_coupling,calibration_target_energy,calibration_achieved_energy,wave_energy,metric_energy,edge_energy,metric_eig_min,metric_eig_max,metric_condition_bound
moons,BP-Momentum,0,core,bp,0,0,0,0,,49,69,True,0.11887091802455005,0.07952273432974093,0.9763888888888889,0.11887091802455005,0.9611111111111111,0.0798630072369761,0.9733333333333334,0.9733333333333334,0.9733321480954709,0.3770195000106469,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,1,core,bp,0,0,0,0,,67,87,True,0.09872481055788006,0.10035388055223289,0.9597222222222223,0.09872481055788006,0.9611111111111111,0.09197425244630479,0.98,0.98,0.98,0.4927392999525182,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,3,core,bp,0,0,0,0,,70,90,True,0.13473146585262355,0.09026150440344421,0.9722222222222222,0.13473146585262355,0.9555555555555556,0.1258134737361237,0.9566666666666667,0.9566666666666667,0.9566623328999566,0.5282495000283234,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,2,core,bp,0,0,0,0,,126,146,True,0.09172510004505842,0.10547614368137508,0.9611111111111111,0.09172510004505842,0.9722222222222222,0.11796041651557922,0.9633333333333334,0.9633333333333334,0.9633296662999633,0.8974105000379495,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,5,core,bp,0,0,0,0,,66,86,True,0.08725758004737004,0.10762488192914027,0.9555555555555556,0.08725758004737004,0.9666666666666667,0.14587822550028962,0.9533333333333334,0.9533333333333334,0.9533001245330013,0.5502938000136055,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,4,core,bp,0,0,0,0,,97,117,True,0.06395793661615107,0.11418718881580349,0.9597222222222223,0.06395793661615107,0.9777777777777777,0.09721368371300605,0.96,0.96,0.9599982221432064,0.75070150004467,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,6,core,bp,0,0,0,0,,76,96,True,0.09100244106483374,0.11612481512827184,0.9569444444444445,0.09100244106483374,0.9666666666666667,0.0775023798105817,0.9733333333333334,0.9733333333333334,0.9733321480954709,0.6727432999759912,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,0,core,bp,0,0,0,0,,9,29,True,0.129954175751986,0.08946392063701289,0.9708333333333333,0.129954175751986,0.95,0.09307370114752679,0.97,0.97,0.96999699969997,0.3012546999962069,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,8,core,bp,0,0,0,0,,54,74,True,0.13506665662010559,0.13391344521309653,0.9513888888888888,0.13506665662010559,0.95,0.134673716306603,0.95,0.95,0.9499994444382716,0.6141610000049695,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,7,core,bp,0,0,0,0,,84,104,True,0.045180594525292654,0.07462492513308559,0.9777777777777777,0.045180594525292654,0.9888888888888889,0.13188074617873502,0.9466666666666667,0.9466666666666667,0.9466571834992887,0.806305100035388,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,1,core,bp,0,0,0,0,,23,43,True,0.10305177806543099,0.10140230826381007,0.9555555555555556,0.10305177806543099,0.9666666666666667,0.09985924727346211,0.9733333333333334,0.9733333333333334,0.9733321480954709,0.4791791000170633,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Momentum,9,core,bp,0,0,0,0,,76,96,True,0.13536046192144796,0.08281901058006566,0.9638888888888889,0.13536046192144796,0.9444444444444444,0.11099411095155957,0.9666666666666667,0.9666666666666667,0.9666607396870555,0.902408399968408,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,2,core,bp,0,0,0,0,,38,58,True,0.09439778832100976,0.10659938177600778,0.9611111111111111,0.09439778832100976,0.9722222222222222,0.10908282789370399,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.612730199994985,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,3,core,bp,0,0,0,0,,36,56,True,0.13360615890735525,0.08535787103814547,0.9694444444444444,0.13360615890735525,0.95,0.1325081347776615,0.9566666666666667,0.9566666666666667,0.9566546262850792,0.5975958000053652,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,4,core,bp,0,0,0,0,,47,67,True,0.060505096290909124,0.10722182065620657,0.9694444444444444,0.060505096290909124,0.9833333333333333,0.10004184086300262,0.9666666666666667,0.9666666666666667,0.9666607396870555,0.6955854000407271,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,6,core,bp,0,0,0,0,,31,51,True,0.08991839321448605,0.11601919233857204,0.9583333333333334,0.08991839321448605,0.9722222222222222,0.07429704254966842,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.5069930000463501,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,7,core,bp,0,0,0,0,,44,64,True,0.035834105906468704,0.07032108422216415,0.9763888888888889,0.035834105906468704,0.9888888888888889,0.1442455327676728,0.95,0.95,0.9499949994999499,0.6246507000178099,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,5,core,bp,0,0,0,0,,87,107,True,0.08270772197644691,0.1023310979476191,0.9597222222222223,0.08270772197644691,0.9611111111111111,0.14259531088150387,0.9566666666666667,0.9566666666666667,0.956643061222221,1.1009407000383362,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,8,core,bp,0,0,0,0,,24,44,True,0.1251142088770082,0.12104638054652078,0.9555555555555556,0.1251142088770082,0.9555555555555556,0.13138870207720005,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.459883900010027,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-Adam,9,core,bp,0,0,0,0,,64,84,True,0.13658016098634793,0.07167028341892938,0.9722222222222222,0.13658016098634793,0.9555555555555556,0.11083638077108397,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8594211000017822,720,180,300,2,2,6,2498,,,,,,,,,
moons,BP-MWBP,0,core,bp,0,0,0,0,,49,69,True,0.11939957117018798,0.08049725262243693,0.9763888888888889,0.11939957117018798,0.9611111111111111,0.08083596079207805,0.9733333333333334,0.9733333333333334,0.9733321480954709,2.055595199984964,720,180,300,2,2,6,2498,,,,0.12364283848032329,0.685005970588055,0.130421632185594,-0.2357760363415763,0.8514063083358505,2.3863043586403685
moons,BP-MWBP,1,core,bp,0,0,0,0,,67,87,True,0.09882525251860724,0.10046633720272789,0.9597222222222223,0.09882525251860724,0.9611111111111111,0.09195845153115204,0.98,0.98,0.98,2.5172013000119478,720,180,300,2,2,6,2498,,,,0.17241770704582063,0.535651402916512,0.13327153125332802,-0.23585569362627204,0.7573268357445562,2.213435920781209
moons,BP-MWBP,3,core,bp,0,0,0,0,,70,90,True,0.13458699210259828,0.09049938069873949,0.9722222222222222,0.13458699210259828,0.9555555555555556,0.12564158831470543,0.9566666666666667,0.9566666666666667,0.9566623328999566,2.4399671999854036,720,180,300,2,2,6,2498,,,,0.37192084073953846,0.5057694346159664,0.09693910178129138,-0.23576197774943639,0.644193582941035,2.0217519723365265
