topology,problem,rho,method,median_actions,min_actions,max_actions,convergence_rate,spectral_radius,max_imag_eigenvalue,nonnormality,matrix_asymmetry
directed_heterogeneous_nonnormal,linear,0.8,AR-realbound,56.0,54,57,1.0,0.7999999999999998,0.2712408425972301,0.0633151542128871,0.8630543396435568
directed_heterogeneous_nonnormal,linear,0.8,CAT-realbound,40.0,36,41,1.0,0.7999999999999998,0.2712408425972301,0.0633151542128871,0.8630543396435568
directed_heterogeneous_nonnormal,linear,0.8,GMRES,30.0,29,31,1.0,0.7999999999999998,0.2712408425972301,0.0633151542128871,0.8630543396435568
directed_heterogeneous_nonnormal,linear,0.95,AR-realbound,233.0,227,235,1.0,0.9499999999999996,0.3220985005842106,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,linear,0.95,CAT-realbound,15000.0,445,15000,0.4,0.9499999999999996,0.3220985005842106,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,linear,0.95,GMRES,87.0,82,89,1.0,0.9499999999999996,0.3220985005842106,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,linear,0.99,AR-realbound,1139.0,1115,1180,1.0,0.9900000000000012,0.3356605427140741,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,linear,0.99,CAT-realbound,3597.0,3465,4634,0.0,0.9900000000000012,0.3356605427140741,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,linear,0.99,GMRES,96.0,95,97,1.0,0.9900000000000012,0.3356605427140741,0.0633151542128871,0.8630543396435567
directed_heterogeneous_nonnormal,tanh,0.8,AR-realbound,53.0,53,54,1.0,0.793414509185152,0.2691147865179558,0.0629720110186988,0.8625537546832
directed_heterogeneous_nonnormal,tanh,0.8,CAT-realbound,38.0,36,41,1.0,0.793414509185152,0.2691147865179558,0.0629720110186988,0.8625537546832
directed_heterogeneous_nonnormal,tanh,0.8,GMRES,29.0,28,30,1.0,0.793414509185152,0.2691147865179558,0.0629720110186988,0.8625537546832
directed_heterogeneous_nonnormal,tanh,0.95,AR-realbound,143.0,140,170,1.0,0.9259319198174324,0.3138546517165505,0.0626442514467444,0.8625622484539314
directed_heterogeneous_nonnormal,tanh,0.95,CAT-realbound,15000.0,347,15000,0.4,0.9259319198174324,0.3138546517165505,0.0626442514467444,0.8625622484539314
directed_heterogeneous_nonnormal,tanh,0.95,GMRES,61.0,59,72,1.0,0.9259319198174324,0.3138546517165505,0.0626442514467444,0.8625622484539314
directed_heterogeneous_nonnormal,tanh,0.99,AR-realbound,240.0,182,297,1.0,0.9515725142575616,0.320944047988986,0.0623823024645886,0.8639277647513638
directed_heterogeneous_nonnormal,tanh,0.99,CAT-realbound,3920.0,3714,5203,0.0,0.9515725142575616,0.320944047988986,0.0623823024645886,0.8639277647513638
directed_heterogeneous_nonnormal,tanh,0.99,GMRES,76.0,69,92,1.0,0.9515725142575616,0.320944047988986,0.0623823024645886,0.8639277647513638
directed_uniform,linear,0.8,AR-realbound,56.0,54,57,1.0,0.8000000000000014,0.2779385543367655,0.0,0.7427813527082077
directed_uniform,linear,0.8,CAT-realbound,38.0,38,38,1.0,0.8000000000000014,0.2779385543367655,0.0,0.7427813527082077
directed_uniform,linear,0.8,GMRES,30.0,30,30,1.0,0.8000000000000014,0.2779385543367655,0.0,0.7427813527082077
directed_uniform,linear,0.95,AR-realbound,232.0,226,234,1.0,0.9499999999999988,0.3300520332749095,1.7801956593079493e-17,0.7427813527082073
directed_uniform,linear,0.95,CAT-realbound,15000.0,15000,15000,0.0,0.9499999999999988,0.3300520332749095,1.7801956593079493e-17,0.7427813527082073
directed_uniform,linear,0.95,GMRES,90.0,86,90,1.0,0.9499999999999988,0.3300520332749095,1.7801956593079493e-17,0.7427813527082073
directed_uniform,linear,0.99,AR-realbound,1135.0,1108,1172,1.0,0.9899999999999995,0.3439489609917467,0.0,0.7427813527082073
directed_uniform,linear,0.99,CAT-realbound,3391.0,3389,3394,0.0,0.9899999999999995,0.3439489609917467,0.0,0.7427813527082073
directed_uniform,linear,0.99,GMRES,95.0,95,95,1.0,0.9899999999999995,0.3439489609917467,0.0,0.7427813527082073
directed_uniform,tanh,0.8,AR-realbound,53.0,53,53,1.0,0.7936864307927897,0.2756940221537728,0.0019820194963122,0.7428473474166849
directed_uniform,tanh,0.8,CAT-realbound,38.0,38,38,1.0,0.7936864307927897,0.2756940221537728,0.0019820194963122,0.7428473474166849
directed_uniform,tanh,0.8,GMRES,29.0,29,29,1.0,0.7936864307927897,0.2756940221537728,0.0019820194963122,0.7428473474166849
directed_uniform,tanh,0.95,AR-realbound,157.0,148,165,1.0,0.9272807389133512,0.3216018303136195,0.0033375664286169,0.7430005928569643
directed_uniform,tanh,0.95,CAT-realbound,15000.0,15000,15000,0.0,0.9272807389133512,0.3216018303136195,0.0033375664286169,0.7430005928569643
directed_uniform,tanh,0.95,GMRES,68.0,66,72,1.0,0.9272807389133512,0.3216018303136195,0.0033375664286169,0.7430005928569643
directed_uniform,tanh,0.99,AR-realbound,232.0,218,275,1.0,0.9518441162207752,0.3289580368427436,0.0043672975570694,0.7431372111142724
directed_uniform,tanh,0.99,CAT-realbound,3698.0,3637,3827,0.0,0.9518441162207752,0.3289580368427436,0.0043672975570694,0.7431372111142724
directed_uniform,tanh,0.99,GMRES,89.0,75,91,1.0,0.9518441162207752,0.3289580368427436,0.0043672975570694,0.7431372111142724
