dataset,seed,family,method,affine_depth,graph_diameter,best_epoch,stopped_epoch,best_validation_loss,test_loss,test_accuracy,elapsed_seconds,pullback_direction_norm,pullback_force_norm,pullback_precondition_ratio,transport_all_blocks_reached,transport_reached_blocks,transport_steps,transport_factor_gap,transport_graph_diameter,transport_max_factor_norm,transport_min_factor_norm,edge_energy,gauge_capture,gauge_coordinate_change_residual,gauge_explicit_transport,gauge_frame_orthogonality_error,gauge_transport_residual,gauge_transport_residual_max,metric_condition_bound,metric_eig_max,metric_eig_min,metric_energy,wave_energy
moons,0,pullback,instantaneous,6,5,40,40,0.15307145856017945,0.12536611488949806,0.9633333333333334,0.6498878999846056,0.1067481001025701,0.14964924317603978,0.7601789927798758,1.0,6.0,5.0,,,,,,,,,,,,,,,,
moons,0,pullback,local_output_only,6,5,40,40,0.13501223357240544,0.107980051450457,0.97,0.6987296000006609,,,,0.0,1.0,5.0,0.5641655739257252,5.0,1.1548296311560753,0.0,,,,,,,,,,,,
moons,0,pullback,partial_3hop,6,5,40,40,0.1466790273995621,0.12219556689276596,0.9633333333333334,0.7079884000122547,,,,0.0,4.0,3.0,0.3613027433155331,5.0,1.2448269313954596,0.0,,,,,,,,,,,,
moons,0,pullback,full_reach,6,5,40,40,0.1516548499785614,0.12593672537857467,0.9633333333333334,0.7157539000036195,,,,1.0,6.0,5.0,0.2258746433964448,5.0,1.603229817768464,0.171493378751389,,,,,,,,,,,,
moons,0,pullback,relaxed_10hop,6,5,40,40,0.1533482308832819,0.1260072034467785,0.9633333333333334,0.7807267000316642,,,,1.0,6.0,10.0,0.026549022561939858,5.0,2.4275787499263695,1.0876670077942903,,,,,,,,,,,,
moons,0,gauge,transported_propagating,6,5,40,40,0.13311670214031315,0.10600683730239634,0.97,1.79172620002646,,,,,,,,,,,0.10001330413737876,0.9407730131639537,0.9766964506859434,1.0,1.7920240637971825e-14,0.32848933667784974,0.43651340515464876,1.8105493843703262,0.5088944035409624,-0.22888317541913733,0.31578309071014904,0.2659545730794469
moons,0,gauge,transported_local,6,5,40,40,0.13561550817508966,0.10884702123487758,0.9633333333333334,1.7508058000239544,,,,,,,,,,,1.4954733148780222,0.9408251771767333,0.9791979051987428,1.0,1.839111546903822e-14,0.33124647553570824,0.4424133109564291,4.48976980220324,1.2577656188850914,-0.5821062520766175,1.4954733148780222,0.22431106895839548
moons,1,pullback,instantaneous,6,5,40,40,0.13003224167273134,0.11905390211126175,0.9733333333333334,0.6447667999891564,0.127522864514686,0.17197210922025055,0.786328654210548,1.0,6.0,5.0,,,,,,,,,,,,,,,,
moons,1,pullback,local_output_only,6,5,40,40,0.11781898087158452,0.10744576168541438,0.9733333333333334,0.7222048999974504,,,,0.0,1.0,5.0,0.5656994364478396,5.0,1.1402261376077762,0.0,,,,,,,,,,,,
moons,1,pullback,partial_3hop,6,5,40,40,0.12271350582509742,0.1114879561023073,0.9733333333333334,0.7044555999455042,,,,0.0,4.0,3.0,0.362479643921971,5.0,1.1805190507031318,0.0,,,,,,,,,,,,
moons,1,pullback,full_reach,6,5,40,40,0.12760102423072772,0.1154415282310713,0.9733333333333334,0.7322068000212312,,,,1.0,6.0,5.0,0.2267033986871807,5.0,1.6289565276829934,0.16336703604819106,,,,,,,,,,,,
moons,1,pullback,relaxed_10hop,6,5,40,40,0.1295934676150613,0.11861065048615274,0.9733333333333334,0.7705213999724947,,,,1.0,6.0,10.0,0.026652925926572736,5.0,2.2467335702392166,0.9720019019249245,,,,,,,,,,,,
moons,1,gauge,transported_propagating,6,5,40,40,0.11498915043930825,0.10556274024145001,0.9733333333333334,1.8128768999595195,,,,,,,,,,,0.10424165201385724,0.9233004461778969,0.9718432276882027,1.0,1.0902813546856703e-14,0.3663111036852778,0.6092147625935859,1.7830021799031688,0.49169096495929865,-0.2268921381831363,0.2863983990154884,0.2844123186831344
moons,1,gauge,transported_local,6,5,40,40,0.1169245013645833,0.10689834550588448,0.9733333333333334,1.792206400015857,,,,,,,,,,,1.4294140545074219,0.9225534058463303,0.976294829695113,1.0,1.0944624628969684e-14,0.37056325738490603,0.6144427666438758,4.295094392133846,1.209929410353292,-0.5809237944952227,1.4294140545074219,0.24020474841463935
moons,2,pullback,instantaneous,6,5,40,40,0.2513829811116937,0.23414685532889398,0.9166666666666666,0.6447263999725692,0.08466168097851473,0.1308069288901591,0.7459727399563114,1.0,6.0,5.0,,,,,,,,,,,,,,,,
moons,2,pullback,local_output_only,6,5,40,40,0.26199100810992815,0.24372614586639893,0.91,0.7047673999913968,,,,0.0,1.0,5.0,0.5663287914086869,5.0,1.1477110734970746,0.0,,,,,,,,,,,,
moons,2,pullback,partial_3hop,6,5,40,40,0.2755626085059944,0.25443006784968636,0.8966666666666666,0.7024924000143073,,,,0.0,4.0,3.0,0.36250968882906504,5.0,1.2134453286165123,0.0,,,,,,,,,,,,
moons,2,pullback,full_reach,6,5,40,40,0.27886465196539384,0.2569311241380822,0.8966666666666666,0.7067033999483101,,,,1.0,6.0,5.0,0.22661987128642463,5.0,1.3299282028428494,0.1275071032010709,,,,,,,,,,,,
moons,2,pullback,relaxed_10hop,6,5,40,40,0.2576035225542321,0.23931843390775,0.91,0.7570608000387438,,,,1.0,6.0,10.0,0.026647366379998975,5.0,1.9755640879466967,1.098945634307679,,,,,,,,,,,,
moons,2,gauge,transported_propagating,6,5,40,40,0.2612422551242138,0.24326589849561414,0.91,1.8461020999820903,,,,,,,,,,,0.09380522258464626,0.9637667629639576,0.9482945815266798,1.0,9.344876148924275e-15,0.2746609453911969,0.46174102004678025,1.7808020571524419,0.4879339236282025,-0.2291782871414845,0.2976425627618449,0.24962076599913302
moons,2,gauge,transported_local,6,5,40,40,0.2617638900031307,0.2436093949783741,0.91,1.783259599993471,,,,,,,,,,,1.4045031972214115,0.9636331892156976,0.9494375118718248,1.0,9.570284730932784e-15,0.27592434775651076,0.4638612618003151,4.215820075868494,1.1813868227051263,-0.5827687215749393,1.4045031972214115,0.2129918370688019
moons,3,pullback,instantaneous,6,5,39,40,0.32936301009256824,0.3216057051833904,0.8733333333333333,0.6544424000312574,0.07406700156414801,0.10303911705835615,0.7343701575158902,1.0,6.0,5.0,,,,,,,,,,,,,,,,
moons,3,pullback,local_output_only,6,5,39,40,0.32706527990872153,0.31955157363260694,0.8766666666666667,0.7194933999562636,,,,0.0,1.0,5.0,0.5639317733341689,5.0,1.1169313935017477,0.0,,,,,,,,,,,,
moons,3,pullback,partial_3hop,6,5,39,40,0.3293737851683536,0.3214213324695004,0.8766666666666667,0.721975399996154,,,,0.0,4.0,3.0,0.3610074733355378,5.0,1.1229466377668644,0.0,,,,,,,,,,,,
moons,3,pullback,full_reach,6,5,39,40,0.3301691621323782,0.32209050583191245,0.8766666666666667,0.7187469000346027,,,,1.0,6.0,5.0,0.2256605685449908,5.0,1.1398769655340861,0.11271694581670869,,,,,,,,,,,,
moons,3,pullback,relaxed_10hop,6,5,39,40,0.32958679269768326,0.32175758020278555,0.8733333333333333,0.7750153000233695,,,,1.0,6.0,10.0,0.026529014223129456,5.0,1.5406433347784882,0.877945622985949,,,,,,,,,,,,
moons,3,gauge,transported_propagating,6,5,39,40,0.32519635162885,0.31824690794673205,0.8766666666666667,1.8480058000423014,,,,,,,,,,,0.11034215540040705,0.9619210898562419,0.9663782252337814,1.0,1.2574288588816824e-14,0.3217509709706262,0.5157326147896661,1.8609676886611604,0.540447190843725,-0.23093945620349382,0.348606577800073,0.26543736558497416
moons,3,gauge,transported_local,6,5,39,40,0.3286173790655318,0.32066395558448674,0.8766666666666667,1.8533716999809258,,,,,,,,,,,1.6803524813091903,0.9588531157012222,0.971132591969473,1.0,1.618937256998367e-14,0.3229414216875973,0.5395476543136982,4.911225390588945,1.367698144045692,-0.5827746039341454,1.6803524813091903,0.2243938115963714
moons,4,pullback,instantaneous,6,5,40,40,0.09798824048933095,0.12576931406984443,0.9566666666666667,0.669302299967967,0.13013228979229932,0.17163642449420594,0.7660206683476177,1.0,6.0,5.0,,,,,,,,,,,,,,,,
moons,4,pullback,local_output_only,6,5,40,40,0.08953097881103188,0.1193566986901021,0.9566666666666667,0.722611200006213,,,,0.0,1.0,5.0,0.5683795124475642,5.0,1.1985909990844803,0.0,,,,,,,,,,,,
moons,4,pullback,partial_3hop,6,5,40,40,0.09523313905975334,0.12431274016201077,0.96,0.7146745000500232,,,,0.0,4.0,3.0,0.3640041653555989,5.0,1.3845412788695355,0.0,,,,,,,,,,,,
moons,4,pullback,full_reach,6,5,40,40,0.09549852734897528,0.12366323076284697,0.9566666666666667,0.7388488999567926,,,,1.0,6.0,5.0,0.22755633832910455,5.0,1.7392124638590016,0.17329207415384362,,,,,,,,,,,,
moons,4,pullback,relaxed_10hop,6,5,40,40,0.09753834286583313,0.12532019809860875,0.9566666666666667,0.8676706000114791,,,,1.0,6.0,10.0,0.02675050193956435,5.0,2.412770448484893,1.0481585572756769,,,,,,,,,,,,
moons,4,gauge,transported_propagating,6,5,40,40,0.08546481589238401,0.11598291744580445,0.9566666666666667,1.8586288999649696,,,,,,,,,,,0.106399374610982,0.9205463263898802,0.9911646172154237,1.0,1.3225487223463482e-14,0.3714221328359423,0.7141218779710848,1.7822966579874449,0.4920490605246934,-0.22577569784367507,0.2929274695626784,0.26512620475865945
moons,4,gauge,transported_local,6,5,40,40,0.09013396474600162,0.11976653338270069,0.9566666666666667,1.8152976999990642,,,,,,,,,,,1.5478133436023795,0.9202067396415164,0.9952702822203627,1.0,1.2212172369067253e-14,0.3672056970026962,0.7003328433882674,4.455484630761544,1.2549015845687483,-0.5815303444740283,1.5478133436023795,0.22433923310585902
digits,0,pullback,instantaneous,6,5,40,40,0.16486831172812777,0.22062202478979046,0.9422222222222222,16.653844700020272,0.22196703770490642,0.23732564185476052,0.9353434428010221,1.0,6.0,5.0,,,,,,,,,,,,,,,,
digits,0,pullback,local_output_only,6,5,40,40,0.16410201040187897,0.22159471670892344,0.9422222222222222,16.018508500012103,,,,0.0,1.0,5.0,0.7652424870944615,5.0,2.8417501460243075,0.0,,,,,,,,,,,,
digits,0,pullback,partial_3hop,6,5,40,40,0.16406347729604098,0.22108521124368374,0.94,16.020783099986147,,,,0.0,4.0,3.0,0.48980707811933166,5.0,2.839535727267464,0.0,,,,,,,,,,,,
digits,0,pullback,full_reach,6,5,40,40,0.16409181311628607,0.22088078853798906,0.94,16.147142000030726,,,,1.0,6.0,5.0,0.30614334143677224,5.0,3.0499767490297915,0.4760637755363704,,,,,,,,,,,,
digits,0,pullback,relaxed_10hop,6,5,40,40,0.1647458481826367,0.2206803504065098,0.94,16.25122590002138,,,,1.0,6.0,10.0,0.035988134936322115,5.0,5.141728372698956,2.689409558334398,,,,,,,,,,,,
digits,0,gauge,transported_propagating,6,5,40,40,0.15932202106874133,0.21575388885618832,0.9422222222222222,25.40657230000943,,,,,,,,,,,0.041926353123444816,0.15051163709183812,1.2310182511219985,1.0,4.7682360302129446e-15,0.45053502468139506,0.6694346851285358,1.3278064779405858,0.22044113323413939,-0.13251885916529083,0.05477601294697239,0.2461135533922111
digits,0,gauge,transported_local,6,5,40,40,0.15937677421638627,0.2157894192352343,0.9422222222222222,25.191955199989025,,,,,,,,,,,0.2123315218346476,0.15053849257889373,1.2309676015628357,1.0,4.760252533822048e-15,0.4505661686801806,0.6697664711498686,1.8412389229323685,0.4264073126286367,-0.32838528854223253,0.2123315218346476,0.21527726108659304
digits,1,pullback,instantaneous,6,5,40,40,0.18475438732676963,0.1824321938735796,0.9466666666666667,15.47415149997687,0.21718631082557152,0.23257436840524756,0.936517118887894,1.0,6.0,5.0,,,,,,,,,,,,,,,,
digits,1,pullback,local_output_only,6,5,40,40,0.1838405862289277,0.18255285210493294,0.9466666666666667,14.505723000038415,,,,0.0,1.0,5.0,0.7648721972811676,5.0,2.773563492206485,0.0,,,,,,,,,,,,
digits,1,pullback,partial_3hop,6,5,40,40,0.18478733055276025,0.18317464424862145,0.9466666666666667,14.85506400000304,,,,0.0,4.0,3.0,0.4895809852876123,5.0,2.878267601387309,0.0,,,,,,,,,,,,
digits,1,pullback,full_reach,6,5,40,40,0.1844966846505507,0.18324245283908375,0.9466666666666667,14.159781099995598,,,,1.0,6.0,5.0,0.305998501470295,5.0,3.115704465465331,0.512536007172248,,,,,,,,,,,,
digits,1,pullback,relaxed_10hop,6,5,40,40,0.18464261359168965,0.1825958834422033,0.9466666666666667,15.290119799959939,,,,1.0,6.0,10.0,0.03596904253587114,5.0,5.509313525657376,2.7397174791811367,,,,,,,,,,,,
digits,1,gauge,transported_propagating,6,5,40,40,0.1808125354309361,0.1793797943946956,0.9444444444444444,21.545922999968752,,,,,,,,,,,0.04190362564063072,0.12403202969522913,1.2340725341870573,1.0,4.807829975735727e-15,0.4738181355502825,0.7933845769206369,1.3292421469536115,0.2197623708272136,-0.13448838586664932,0.05415957775930639,0.24644410649731935
digits,1,gauge,transported_local,6,5,40,40,0.1807870737532112,0.1793788063720769,0.9444444444444444,17.305966400017496,,,,,,,,,,,0.220198029773783,0.12409443844323594,1.2340406249789684,1.0,4.786115351579734e-15,0.47389225410660235,0.7934759867337854,1.883745027720789,0.44665643787928905,-0.335545621939038,0.220198029773783,0.21382997003911508
digits,2,pullback,instantaneous,6,5,40,40,0.19270788100472555,0.22978183470501481,0.9311111111111111,9.944051300000865,0.22237717710568297,0.23830264461012496,0.9337677635024002,1.0,6.0,5.0,,,,,,,,,,,,,,,,
